,sensors_Torque_cmd,sensors_TV_delta_torque,sensors_TC_Tmax_FL,sensors_TC_Tmax_FR,sensors_TC_Tmax_RL,sensors_TC_Tmax_RR,MISC_Pos_Trq_Limit_FL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_RR
0.78,-0.0,0.0,96.90221,99.507477,148.473613,151.07888,0.0,0.0,0.862479,0.938252
0.79,-0.0,0.0,96.909846,99.46839,148.520037,151.078581,0.0,0.0,0.862184,0.937475
0.8,-0.0,0.0,96.909846,99.46839,148.520037,151.078581,0.0,0.0,0.864444,0.938428
0.81,-0.0,0.0,96.90971,99.405828,148.581851,151.077975,0.0,0.0,0.864444,0.938428
0.82,-0.0,0.0,96.950021,99.336899,148.646009,151.032887,0.0,0.0,0.867942,0.940198
0.83,-0.0,0.0,96.983668,99.323701,148.653665,150.993691,0.0,0.0,0.017702,0.018547
0.84,-0.0,0.0,97.025501,99.271954,148.708579,150.955025,0.0,0.0,0.869869,0.937515
0.85,-0.0,0.0,97.064189,99.248273,148.735521,150.91961,0.0,0.0,0.871631,0.936544
0.86,-0.0,0.0,97.077806,99.246274,148.7365,150.904981,0.0,0.0,0.87191,0.934969
0.87,-0.0,0.0,97.0967,99.249539,148.729855,150.882694,0.0,0.0,0.017669,0.018432
0.88,-0.0,0.0,97.089462,99.289038,148.684045,150.883615,0.0,0.0,0.870653,0.932733
0.89,-0.0,0.0,97.079414,99.294544,148.672802,150.88792,0.0,0.0,0.868382,0.931773
0.9,-0.0,0.0,97.08187,99.312549,148.649264,150.879943,0.0,0.0,0.868147,0.931992
0.91,-0.0,0.0,97.08749,99.36491,148.591675,150.869101,0.0,0.0,0.0,0.0
0.92,-0.0,0.0,97.029327,99.400373,148.558909,150.929961,0.0,0.0,0.863485,0.929011
0.93,-0.0,0.0,96.97948,99.444208,148.523197,150.987919,0.0,0.0,0.863391,0.931709
0.94,-0.0,0.0,96.930056,99.441705,148.538552,151.0502,0.0,0.0,0.862794,0.933891
0.95,-0.0,0.0,96.946236,99.442335,148.543459,151.039564,0.0,0.0,0.864988,0.937585
0.96,-0.0,0.0,96.890487,99.449018,148.537564,151.096089,0.0,0.0,0.864677,0.936794
0.97,-0.0,0.0,96.867021,99.425582,148.564512,151.123073,0.0,0.0,0.866059,0.940112
0.98,-0.0,0.0,96.845088,99.388078,148.605414,151.14841,0.0,0.0,0.868251,0.9424
0.99,-0.0,0.0,96.907373,99.372321,148.617186,151.082128,0.0,0.0,0.871187,0.944993
1.0,-0.0,0.0,96.962981,99.334228,148.645995,151.017235,0.0,0.0,0.869981,0.941383
1.01,-0.0,0.0,96.987025,99.342614,148.631507,150.98709,0.0,0.0,0.870031,0.938619
1.02,-0.0,0.0,96.967832,99.323408,148.649274,151.004843,0.0,0.0,0.868562,0.936624
1.03,-0.0,0.0,96.994158,99.334144,148.638281,150.978261,0.0,0.0,0.870183,0.938308
1.04,-0.0,0.0,97.019205,99.31242,148.664209,150.957418,0.0,0.0,0.868751,0.936352
1.05,-0.0,0.0,97.024783,99.302487,148.684329,150.96202,0.0,0.0,0.0,0.0
1.06,-0.0,0.0,96.995073,99.288446,148.70588,150.999265,0.0,0.0,0.870182,0.935974
1.07,-0.0,0.0,96.990853,99.268629,148.726721,151.004503,0.0,0.0,0.872205,0.938544
1.08,-0.0,0.0,97.029874,99.260785,148.726852,150.957763,0.0,0.0,0.8735,0.939421
1.09,-0.0,0.0,97.06424,99.263807,148.708297,150.907858,0.0,0.0,0.870549,0.93402
1.1,-0.0,0.0,97.075565,99.243851,148.717358,150.885638,0.0,0.0,0.870549,0.93402
1.11,-0.0,0.0,97.06008,99.259553,148.701923,150.90139,0.0,0.0,0.0,0.0
1.12,-0.0,0.0,97.074182,99.320474,148.641645,150.887925,0.0,0.0,0.017643,0.018417
1.13,-0.0,0.0,97.057807,99.350908,148.613275,150.906369,0.0,0.0,0.866629,0.931347
1.14,-0.0,0.0,97.036698,99.376662,148.593379,150.933349,0.0,0.0,0.017504,0.01831
1.15,-0.0,0.0,97.009909,99.381088,148.592078,150.963263,0.0,0.0,0.864939,0.932388
1.16,-0.0,0.0,97.007914,99.379045,148.589024,150.96016,0.0,0.0,0.865644,0.934056
1.17,-0.0,0.0,97.001334,99.40359,148.5558,150.958062,0.0,0.0,0.865613,0.934022
1.18,-0.0,0.0,97.010357,99.428148,148.526579,150.94437,0.0,0.0,0.864079,0.933358
1.19,-0.0,0.0,96.998273,99.416072,148.539534,150.957333,0.0,0.0,0.862227,0.931895
1.2,-0.0,0.0,97.05143,99.391294,148.568753,150.908628,0.0,0.0,0.863316,0.933029
1.21,-0.0,0.0,97.083197,99.37631,148.589251,150.882358,0.0,0.0,0.863252,0.930632
1.22,-0.0,0.0,97.082194,99.359781,148.615002,150.892595,0.0,0.0,0.863341,0.929328
